,Standard Words,Accepted Words
0,abang,bang
1,adik,dik
2,agak,macam
3,amat,betul-betul
4,anak,nak
5,anda,awak
6,apa macam,amacam
7,apa pasal,asal
8,apabila,bila
9,awak,kau
10,awak,korang
11,bagaimana,macam mana
12,bagi,kasi
13,baharu,baru
14,bahawa,yang
15,bantu,tolong
16,begini,gini
17,beginilah,ginilah
18,begitu,gitu
19,begitulah,gitulah
20,bekerja,kerja
21,benar-benar,betul-betul
22,berasa,rasa
23,berbeza,lain
24,beri,kasi
25,beritahu,bilang
26,bertanya,tanya
27,beza,lain
28,bijak,pandai
29,dahulu,dulu
30,dan,dengan
31,datuk,tuk
32,dekat,kat
33,dengan,ngan
34,di,kat
35,dia orang,diorang
36,dia orang,dorang
37,dia punya,dia nya
38,emak,mak
39,entah,tah
40,erti,makna
41,esok,besok
42,esoknya,besoknya
43,guna,pakai
44,guru,ckigu
45,guru,cikgu
46,guru-guru,cikgu-cikgu
47,guru-gurunya,cikgu-cikgunya
48,gurunya,cikgunya
49,habis,abih
50,hadapan,depan
51,haji,ji
52,hajjah,jah
53,harus,mesti
54,haruslah,mestilah
55,hendak,nak
56,hingga,sampai
57,ibarat,macam
58,ingin,nak
59,ini,ni
60,itu,tu
61,jika,kalau
62,juga,pun
63,jugak,pun
64,kakak,kak
65,kami,kita orang
66,kamu,kau
67,kamu,awak
68,kamu ,korang
69,kanak,budak
70,kanak-kanak,budak-budak
71,kasihan,kesian
72,kasihankan,kesiankan
73,kasihannya,kesiannya
74,keletihan,kepenatan
75,kemudian,lepas tu
76,kenapa,asal
77,kerana,pasal
78,ketika,bila
79,kewangan,duit
80,lakukan,buat
81,lazim,selalu
82,lazimnya,selalunya
83,lelaki,laki
84,lepas itu,pastu
85,letih,penat
86,lihat,nampak
87,lihat,tengok
88,macam,cam
89,macam mana,camne
90,mahu,nak
91,meletihkan,memenatkan
92,melihat,nampak
93,melihat,tengok
94,memakai,pakai
95,memasak,masak
96,membantu,tolong
97,membawa,bawa
98,membayar,bayar
99,membeli,beli
100,memberi,kasi
101,memberitahu,bilang
102,membuat,buat
103,memilih,pilih
104,mempunyai,ada
105,mencari,cari
106,mencuba,cuba
107,mendapat,dapat
108,mengambil,ambil
109,mengapa,asal
110,mengenai,pasal
111,mereka,dorang
112,merupakan,ialah
113,milik,punya
114,ni hari,niari
115,pantas,cepat
116,pergi,gi
117,perlu,kena
118,pulang,balik
119,punya,nya
120,rakan,kawan
121,rakan-rakan,kawan-kawan
122,sahaja,aja
123,sahaja,saja
124,sangat,betul-betul
125,saya,aku
126,sayang,yang
127,sebuah,satu
128,sedang,tengah
129,sedikit,sikit
130,sehingga,sampai
131,sehinggalah,sampailah
132,sekejap,jap
133,selepas,lepas
134,semakin,makin
135,semasa,bila
136,sentiasa,selalu
137,seolah-olah,macam
138,seorang,sorang
139,sepantas,secepat
140,seperti,macam
141,setelah,lepas
142,sudah,dah
143,sukar,susah
144,tak payah,tak yah
145,telah,dah
146,tempat,pat
147,tentang,pasal
148,terima kasih,makasih
149,tetapi,tapi
150,tiada,tak ada
151,tidak,tak
152,wang,duit
153,wanita,perempuan
